addition to geoid,geoid,,hpi 2010,hpi 2019,% change
,6037119400,14000US06037119400,386.12,727.21,0.88
,6037119700,14000US06037119700,352.46,656.5,0.86
,6037119800,14000US06037119800,567.87,1072.95,0.89
,6037119900,14000US06037119900,440.57,810.57,0.84
,6037120010,14000US06037120010,385.8,817.09,1.12
,6037120020,14000US06037120020,254.63,495.34,0.95
,6037120105,14000US06037120105,247.59,484.93,0.96
,6037120300,14000US06037120300,423.61,820.85,0.94
,6037120400,14000US06037120400,372.41,749.29,1.01
,6037121010,14000US06037121010,457.13,906.22,0.98
,6037121020,14000US06037121020,345.6,687.14,0.99
,6037121101,14000US06037121101,175.91,334.8,0.9
,6037121102,14000US06037121102,288.25,537.28,0.86
,6037121210,14000US06037121210,253.4,488.73,0.93
,6037121221,14000US06037121221,276.92,545.82,0.97
,6037121222,14000US06037121222,269.79,505.07,0.87
,6037121600,14000US06037121600,410.19,761.77,0.86
,6037121801,14000US06037121801,273.52,505.99,0.85
,6037121802,14000US06037121802,271.6,546.43,1.01
,6037121900,14000US06037121900,431.33,780.9,0.81
,6037122000,14000US06037122000,441.86,836.19,0.89
,6037122120,14000US06037122120,435.16,860.89,0.98
,6037122121,14000US06037122121,257.68,531.04,1.06
,6037122200,14000US06037122200,290.05,606.81,1.09
,6037122420,14000US06037122420,279.52,521.33,0.87
,6037123010,14000US06037123010,413.18,845.23,1.05
,6037123020,14000US06037123020,413.77,826.85,1
,6037123103,14000US06037123103,295.94,571.91,0.93
,6037123104,14000US06037123104,310.32,545.23,0.76
,6037123204,14000US06037123204,181.35,366.16,1.02
,6037123205,14000US06037123205,170.5,351.53,1.06
,6037123206,14000US06037123206,158.53,324.59,1.05
,6037123301,14000US06037123301,363.96,687.21,0.89
,6037123303,14000US06037123303,301.15,570.02,0.89
,6037123304,14000US06037123304,411.32,785.85,0.91
,6037123410,14000US06037123410,255.31,541.92,1.12
,6037123420,14000US06037123420,286.74,556.67,0.94
,6037123510,14000US06037123510,268.4,479.17,0.79
,6037123520,14000US06037123520,330.83,604.22,0.83
,6037123601,14000US06037123601,302.69,532.6,0.76
,6037123602,14000US06037123602,292.26,477.98,0.64
,6037123700,14000US06037123700,301.98,604.87,1
,6037123800,14000US06037123800,285.93,534.95,0.87
,6037123901,14000US06037123901,329.1,587.78,0.79
,6037123902,14000US06037123902,361.58,619.53,0.71
,6037124000,14000US06037124000,349.63,591.8,0.69
,6037124102,14000US06037124102,328.5,622.37,0.89
,6037124103,14000US06037124103,264.95,587.17,1.22
,6037124104,14000US06037124104,114.04,261.37,1.29
,6037124105,14000US06037124105,110.13,236.55,1.15
,6037124201,14000US06037124201,428.25,834.6,0.95
,6037124203,14000US06037124203,189.56,425.29,1.24
,6037124204,14000US06037124204,183.43,391.14,1.13
,6037124300,14000US06037124300,334.57,648.2,0.94
,6037124400,14000US06037124400,352.84,610.02,0.73
,6037124500,14000US06037124500,357.12,558.08,0.56
,6037124600,14000US06037124600,386.1,617.77,0.6
,6037124700,14000US06037124700,352.4,526.03,0.49
,6037124902,14000US06037124902,176.13,310.34,0.76
,6037125100,14000US06037125100,357.7,622.85,0.74
,6037125200,14000US06037125200,347.23,643.42,0.85
,6037125310,14000US06037125310,337.6,657.07,0.95
,6037125402,14000US06037125402,370.05,622.16,0.68
,6037125501,14000US06037125501,189.57,335.45,0.77
,6037125502,14000US06037125502,340.56,587.8,0.73
,6037125600,14000US06037125600,344.27,570.55,0.66
,6037127102,14000US06037127102,266.4,458.78,0.72
,6037127104,14000US06037127104,240.02,465.87,0.94
,6037127210,14000US06037127210,275.16,497.76,0.81
,6037127220,14000US06037127220,253.83,466.65,0.84
,6037127300,14000US06037127300,304.19,542.99,0.79
,6037127400,14000US06037127400,293.22,504.58,0.72
,6037127603,14000US06037127603,261.12,527.92,1.02
,6037127604,14000US06037127604,183.01,349.95,0.91
,6037127605,14000US06037127605,176.18,315.84,0.79
,6037127606,14000US06037127606,286.63,536.13,0.87
,6037127711,14000US06037127711,305.36,541.9,0.77
,6037127712,14000US06037127712,154.21,276.13,0.79
,6037127803,14000US06037127803,260.35,503.83,0.94
,6037127804,14000US06037127804,274.96,474.17,0.72
,6037127805,14000US06037127805,252.71,469.15,0.86
,6037127806,14000US06037127806,278.78,480.84,0.72
,6037127910,14000US06037127910,150.35,277.49,0.85
,6037127920,14000US06037127920,283.75,514.99,0.81
,6037128101,14000US06037128101,262.5,500.86,0.91
,6037128102,14000US06037128102,315.7,553.98,0.75
,6037128220,14000US06037128220,300.13,547.46,0.82
,6037128302,14000US06037128302,347.02,662.19,0.91
,6037128400,14000US06037128400,605.22,1016.25,0.68
,6037128500,14000US06037128500,334.99,559.46,0.67
,6037128601,14000US06037128601,367.97,687.36,0.87
,6037128602,14000US06037128602,348.73,547.16,0.57
,6037128702,14000US06037128702,369.16,609.7,0.65
,6037128801,14000US06037128801,220.9,347.32,0.57
,6037128802,14000US06037128802,385.48,618.71,0.61
,6037128910,14000US06037128910,825.26,1366.09,0.66
,6037131010,14000US06037131010,402.56,666.02,0.65
,6037131020,14000US06037131020,474.32,846.27,0.78
,6037131100,14000US06037131100,505.45,881.5,0.74
,6037131200,14000US06037131200,499.68,838.87,0.68
,6037131300,14000US06037131300,586.36,997.62,0.7
,6037131400,14000US06037131400,400.53,667.65,0.67
,6037131600,14000US06037131600,581.89,1024.43,0.76
,6037131701,14000US06037131701,195.37,307.46,0.57
,6037131702,14000US06037131702,296.88,546.29,0.84
,6037131800,14000US06037131800,416.73,723.88,0.74
,6037131900,14000US06037131900,509.78,923.04,0.81
,6037132001,14000US06037132001,416.46,720.48,0.73
,6037132002,14000US06037132002,308.78,528.53,0.71
,6037132101,14000US06037132101,398.43,696.79,0.75
,6037132102,14000US06037132102,493.37,867.55,0.76
,6037132300,14000US06037132300,395.04,688.96,0.74
,6037132501,14000US06037132501,389.95,716.27,0.84
,6037132502,14000US06037132502,169.61,309.45,0.82
,6037132700,14000US06037132700,509.49,900,0.77
,6037132900,14000US06037132900,303.55,494.46,0.63
,6037133000,14000US06037133000,553.5,971.33,0.75
,6037133100,14000US06037133100,506.77,897.11,0.77
,6037134001,14000US06037134001,195.34,334.32,0.71
,6037134002,14000US06037134002,283,474.66,0.68
,6037134101,14000US06037134101,688.22,1145.02,0.66
,6037134103,14000US06037134103,481.47,782.75,0.63
,6037134104,14000US06037134104,542.9,803.29,0.48
,6037134201,14000US06037134201,464.64,758.3,0.63
,6037134302,14000US06037134302,726.02,1148.91,0.58
,6037134303,14000US06037134303,630.19,1004.7,0.59
,6037134304,14000US06037134304,406.03,629.25,0.55
,6037134306,14000US06037134306,269,429.81,0.6
,6037134421,14000US06037134421,521.7,750.59,0.44
,6037134422,14000US06037134422,651.05,963.4,0.48
,6037134423,14000US06037134423,566.61,837.07,0.48
,6037134424,14000US06037134424,287.83,398.74,0.39
,6037134522,14000US06037134522,172.72,337.31,0.95
,6037134710,14000US06037134710,261.61,441.18,0.69
,6037134720,14000US06037134720,433.19,720.88,0.66
,6037134800,14000US06037134800,585.11,994.1,0.7
,6037134901,14000US06037134901,530.41,905.8,0.71
,6037134904,14000US06037134904,426.58,695.93,0.63
,6037134905,14000US06037134905,188.27,283.34,0.5
,6037135102,14000US06037135102,330.28,510.56,0.55
,6037135111,14000US06037135111,522.38,817.81,0.57
,6037135201,14000US06037135201,637.44,950.06,0.49
,6037135202,14000US06037135202,822.68,1266.74,0.54
,6037135203,14000US06037135203,652.17,966.46,0.48
,6037137000,14000US06037137000,474.72,733.12,0.54
